SearchQuery,ID0,S0,ID1,S1,ID2,S2,ID3,S3,ID4,S4
windowsazureofficial,WindowsAzure.Storage,4,WindowsAzure.ServiceBus,4,Microsoft.WindowsAzure.ConfigurationManager,4,Microsoft.Azure.KeyVault,4,,
"Tags:""aws-sdk-v3""",AWSSDK.S3,4,AWSSDK.SQS,4,AWSSDK.DynamoDBv2,4,AWSSDK.*,3,,
websocket,WebSocketSharp,4,SuperSocket.WebSocket,4,WebSocket4Net,4,Microsoft.AspNet.SignalR,3,,
xunit,xunit,4,xunit.runner.visualstudio,3,xunit.runner.console,3,xunit.*,2,,
Newtonsoft.Json,Newtonsoft.Json,4,Newtonsoft.Json.Bson,4,Newtonsoft.Json.Schema,4,,,,
newtonsoft,Newtonsoft.Json,4,Newtonsoft.Json.Bson,4,Newtonsoft.Json.Schema,4,,,,
log4net,log4net,4,Microsoft.ApplicationInsights.Log4NetAppender,3,,,,,,
json,Newtonsoft.Json,4,Microsoft.Extensions.Configuration.Json,3,Newtonsoft.Json.Bson,3,Newtonsoft.Json.Schema,3,,
dapper,Dapper,4,Dapper.Contrib,3,Dapper.SqlBuilder,3,,,,
Microsoft.EntityFrameworkCore,Microsoft.EntityFrameworkCore,4,Microsoft.EntityFrameworkCore.SqlServer,3,Microsoft.EntityFrameworkCore.Tools,3,Microsoft.EntityFrameworkCore.Design,3,,
pdf,iTextSharp,4,PdfSharp,3,Aspose.PDF,3,itext7,3,,
google.apis,Google.Apis,4,Google.Apis.Auth,3,Google.Apis.*,2,,,,
excel,EPPlus,4,ExcelDataReader,3,Microsoft.Office.Interop.Excel,2,NPOI,2,,
mysql,MySql.Data,4,Pomelo.EntityFrameworkCore.MySql,4,MySqlConnector,4,MySql.Data.Entity,3,MySql.Data.EntityFrameworkCore,3
Microsoft.AspNetCore.App,Microsoft.AspNetCore.App,4,Microsoft.AspNetCore.Mvc,2,Microsoft.EntityFrameworkCore,2,Microsoft.Extensions.*,2,,
nlog,NLog,4,NLog.Config,3,Nlog.Extensions.Logging,3,Microsoft.ApplicationInsights.NLogTarget,2,,
newtonsoft.json,Newtonsoft.Json,4,Newtonsoft.Json.Bson,4,Newtonsoft.Json.Schema,4,,,,
sqlite,System.Data.SQLite,4,Microsoft.Data.SQLite,4,sqlite-net-pcl,4,Microsoft.EntityFrameworkCore.Sqlite,3,sqlite,3
accord.net,Accord.*,4,Accord,4,,,,,,
nunit,NUnit,4,NUnit3TestAdapter,3,NUnit.*,3,,,,
Microsoft.EntityFrameworkCore.SqlServer,Microsoft.EntityFrameworkCore.SqlServer,4,Microsoft.EntityFrameworkCore,3,Microsoft.EntityFrameworkCore.*,3,,,,
Microsoft.Extensions.Configuration,Microsoft.Extensions.Configuration,4,Microsoft.Extensions.Configuration.*,3,,,,,,
nuget,NuGet.Frameworks,4,NuGet.Versioning,4,NuGet.Packaging,4,NuGet.Commands,4,NuGet.*,3
"Tags:""SharpDX""",SharpDX,4,SharpDX.*,4,,,,,,
bootstrap,bootstrap,4,Angular.UI.Bootstrap ,3,Twitter.Bootstrap,3,,,,
entityframework,EntityFramework,4,Microsoft.EntityFrameworkCore,4,Microsoft.EntityFrameworkCore.SqlServer,3,Microsoft.EntityFrameworkCore.Tools,3,Microsoft.EntityFrameworkCore.Design,3
"Tags:""pdf-to-image""",Select.Pdf,4,Select.HtmlToPdf,4,Spire.pdf,3,,,,
automapper,AutoMapper,4,AutoMapper.Extensions.Microsoft.DependencyInjection,3,AutoMapper.Collection,3,AutoMapper.EF6,3,,
"Tags:""serilog""",serilog,4,Serilog.Extensions.Logging,4,Serilog.*,3,,,,
oracle,Oracle.ManagedDataAccess,4,Oracle.ManagedDataAccess.Core,4,Oracle.ManagedDataAccess.EntityFramework,4,Oracle.*,3,,
EntityFramework,EntityFramework,4,Microsoft.EntityFrameworkCore,4,Microsoft.EntityFrameworkCore.SqlServer,3,Microsoft.EntityFrameworkCore.Tools,3,Microsoft.EntityFrameworkCore.Design,3
"Owner:""Autofac"" Autofac*",Autofac,4,Autofac.Extensions.DependencyInjection,3,Autofac.WebApi2,3,Autofac.Mvc5,3,,
Microsoft.EntityFrameworkCore.Tools,Microsoft.EntityFrameworkCore.Tools,4,Microsoft.EntityFrameworkCore.Tools.DotNet,3,Microsoft.EntityFrameworkCore,2,Microsoft.EntityFrameworkCore.Design,2,,
moq,Moq,4,AutoMoq,3,Autofac.Extras.Moq ,2,Ninject.MockingKernel.Moq,2,,
entity framework,EntityFramework,4,Microsoft.EntityFrameworkCore,4,Microsoft.EntityFrameworkCore.SqlServer,3,Microsoft.EntityFrameworkCore.Tools,3,Microsoft.EntityFrameworkCore.Design,3
serilog,serilog,4,Serilog.Extensions.Logging,4,Serilog.*,3,,,,
system.web,System.Web.Http.Common,3,Microsoft.Owin.Host.SystemWeb,3,,,,,,
Swashbuckle.AspNetCore,Swashbuckle.AspNetCore,4,Swashbuckle.AspNetCore.Swagger,3,Swashbuckle.AspNetCore.SwaggerUI,3,Swashbuckle.AspNetCore.SwaggerGen,3,Swashbuckle.AspNetCore.Annotations,3
epplus,EPPlus,4,EPPlus.Core,2,,,,,,
jquery,jQuery,4,jQuery.Validation,3,Microsoft.jQuery.Unobtrusive.Validation,3,jQuery.UI.Combined,3,Microsoft.jQuery.Unobtrusive.Ajax,3
"Tags:""word-to-pdf""",DocX,4,GemBox.Document,4,sautinsoft.document,3,Select.HtmlToPdf,3,,
skin,MaterialSkin,2,Fozzy.Skin,2,,,,,,
selenium,Selenium.WebDriver,4,Selenium.WebDriver.ChromeDriver,4,Selenium.WebDriverBackedSelenium,4,Selenium.Support,4,Selenium.*,3
System.Net.Http.Formatting,Microsoft.AspNet.WebApi.Client,4,System.Net.Http.Formatting.Extension,1,,,,,,
autofac,Autofac,4,Autofac.Extensions.DependencyInjection,4,autofac.configuration,4,autofac.webapi2,3,Autofac.*,3
npoi,NPOI,4,NPOI.Excel,3,CZD.NPOI,1,NPOI.Mapper,3,,
"Tags:""Excel""",EPPlus,4,ExcelDataReader,4,NPOI,4,Aspose.Cells,3,,
Microsoft.AspNetCore,Microsoft.AspNetCore.App,4,Microsoft.AspNetCore.Mvc,4,Microsoft.AspNetCore.All,4,Microsoft.AspNetCore.*,2,,
System.Drawing,System.Drawing.Common,4,System.Drawing.Primitives,3,,,,,,
oxyplot,OxyPlot.Core,4,OxyPlot.Wpf,3,OxyPlot.WindowsForms,3,,,,
Microsoft.Extensions.DependencyInjection,Microsoft.Extensions.DependencyInjection,4,Microsoft.Extensions.DependencyInjection.Abstractions,3,,,,,,
Microsoft.EntityFrameworkCore.Design,Microsoft.EntityFrameworkCore.Design,4,Microsoft.EntityFrameworkCore,3,Microsoft.EntityFrameworkCore.Tools,3,,,,
redis,StackExchange.Redis,4,StackExchange.Redis.StrongName,4,Microsoft.Extensions.Caching.Redis,3,ServiceStack.Redis,3,Microsoft.Extensions.Caching.StackExchangeRedis,3
restsharp,RestSharp,4,,,,,,,,
Microsoft.Extensions.Logging,Microsoft.Extensions.Logging,4,Serilog.Extensions.Logging,1,Microsoft.Extensions.Logging.*,2,,,,
unity,Unity,4,Unity.Interception,3,Unity.Mvc,3,Unity.*,2,,
Microsoft.VisualStudio.Web.CodeGeneration.Design,Microsoft.VisualStudio.Web.CodeGeneration.Design,4,Microsoft.VisualStudio.Web.BrowserLink,2,Microsoft.VisualStudio.Web.CodeGeneration.*,2,,,,
npgsql,Npgsql,4,Npgsql.EntityFrameworkCore.PostgreSQL,3,Npgsql.EntityFrameworkCore.PostgreSQL.Design,2,,,,
Microsoft.ReportViewer,Microsoft.Report.Viewer,3,Microsoft.ReportViewer,4,Microsoft.ReportViewer.Common,3,Microsoft.ReportViewer.WebForms,3,,
Microsoft.AspNetCore.Mvc,Microsoft.AspNetCore.Mvc,4,Microsoft.AspNet.Mvc,3,Microsoft.AspNetCore.Mvc.*,2,,,,
Microsoft.NET.Test.Sdk,Microsoft.NET.Test.Sdk,4,Microsoft.TestPlatform.ObjectModel,3,Microsoft.TestPlatform.TranslationLayer,3,,,,
"Tags:""System.Web.Script.Serialization""",Vse.Web.Serialization.ControlledSerializationJsonConverter,4,,,,,,,,
javascriptserializer,WebApiContrib.Formatting.JavascriptSerializer,3,,,,,,,,
System.Net.Http,System.Net.Http,4,Microsoft.AspNet.WebApi.SelfHost,2,Microsoft.AspNet.WebApi.OwinSelfHost,2,,,,
entityframeworkcore,Microsoft.EntityFrameworkCore,4,Microsoft.EntityFrameworkCore.Tools,4,Microsoft.EntityFrameworkCore.SqlServer,4,Microsoft.EntityFrameworkCore.Abstractions,4,,
sftp,SSH.NET,4,WinSCP,4,Rebex.Sftp,3,SFTP.Wrapper,1,ComponentPro.Sftp,2
itextsharp,iTextSharp,4,iText7,4,itextsharp.xmlworker,2,itext7.pdfhtml,3,,
Microsoft.Extensions.Configuration.Json,Microsoft.Extensions.Configuration.Json,4,Microsoft.Extensions.Configuration,3,Microsoft.Extensions.Configuration.*,2,,,,
json.net,Newtonsoft.Json,4,,,,,,,,
pdfsharp,PdfSharp,4,PdfSharp-*,4,PdfSharp-MigraDoc-*,3,,,,
EntityFrameworkCore,Microsoft.EntityFrameworkCore,4,Microsoft.EntityFrameworkCore.*,3,,,,,,
XLSX,NPOI,3,Microsoft.Office.Interop.Excel,2,ExcelDataReader,4,EPPlus,4,ClosedXML,4
System.IdentityModel.Tokens.Jwt,System.IdentityModel.Tokens.Jwt,4,Microsoft.AspNetCore.Authentication.JwtBearer,3,JWT,1,Microsoft.Owin.Security.Jwt,3,jose-jwt,1
AutoMapper,AutoMapper,4,AutoMapper.Extensions.Microsoft.DependencyInjection,3,Abp.AutoMapper,2,AutoMapper.*,2,,
csv,CsvHelper,4,LinqToCsv,2,LumenWorksCsvReader,2,ServiceStack.Text,3,FileHelpers,3
zip,System.IO.Compression.ZipFile,4,SharpZipLib,4,DotNetZip,4,Zlib.Portable,2,Zlib.Portable.Signed,2
System.Web.Http,System.Net.Http,2,System.Net.WebHeaderCollection,2,System.Web.Http.Common,4,Microsoft.AspNet.WebApi.Core,3,,
Microsoft.AspNet.WebApi.Client,Microsoft.AspNet.WebApi.Client,4,Microsoft.AspNet.WebApi,3,Microsoft.AspNetCore.Mvc,2,,,,
"Tags:""html-to-image""",PhantomJS,3,PuppeteerSharp,3,NReco.ImageGenerator,3,,,,
"Tags:""OCR""",Tesseract,4,Microsoft.Windows.Ocr,4,,,,,,
