Source,FeedbackDisposition,SearchQuery,Buckets,MostRelevantPackageIds
GitHubOrTwitter,Unknown,appsf,Prefix,AppsFlyer*
GitHubOrTwitter,Unknown,azure,TopDownloads,WindowsAzure.Storage
GitHubOrTwitter,Unknown,Azure PCL,MultiTerm,Microsoft.Azure.Devices.Client.PCL
GitHubOrTwitter,Unknown,bouncycastle,TopDownloads,Portable.BouncyCastle
GitHubOrTwitter,Unknown,csharp,TopDownloads,Microsoft.CodeAnalysis.CSharp
GitHubOrTwitter,Unknown,documentdb,TopDownloads,Microsoft.Azure.DocumentDB
GitHubOrTwitter,Unknown,DocumentDb,TopDownloads,Microsoft.Azure.DocumentDB
GitHubOrTwitter,Unknown,entity core,TopDownloads,Microsoft.EntityFrameworkCore
GitHubOrTwitter,Unknown,entity framework,Tags,Microsoft.EntityFrameworkCore
GitHubOrTwitter,Unknown,EntityFrameworkCore,TopDownloads,Microsoft.EntityFrameworkCore
GitHubOrTwitter,Unknown,eventgri,Prefix,Microsoft.Azure.EventGrid
GitHubOrTwitter,Unknown,FluentAssertion,Prefix,FluentAssertions
GitHubOrTwitter,Unknown,FxCop,TopDownloads,Microsoft.CodeAnalysis.FxCopAnalyzers
GitHubOrTwitter,Unknown,google cloud storage,MultiTerm | Tags,Google.Cloud.Storage.V1
GitHubOrTwitter,Unknown,IdentityModel,TopDownloads,IdentityModel
GitHubOrTwitter,Unknown,IdentityServer4,ExactMatch,IdentityServer4
GitHubOrTwitter,Unknown,linq2db,ExactMatch,linq2db
GitHubOrTwitter,Unknown,microsoft aspnetcore mvc,MultiTerm,Microsoft.AspNetCore.Mvc
GitHubOrTwitter,Unknown,Microsoft Bot Connector,MultiTerm,Microsoft.Bot.Connector
GitHubOrTwitter,Unknown,microsoft dependencyinjection,MultiTerm,Microsoft.Extensions.DependencyInjection
GitHubOrTwitter,Unknown,microsoft dependencyinjection,TopDownloads,Microsoft.Extensions.DependencyInjection
GitHubOrTwitter,Unknown,Microsoft graph,MultiTerm,Microsoft.Graph
GitHubOrTwitter,Unknown,microsoft logging console,MultiTerm,Microsoft.Extensions.Logging.Console
GitHubOrTwitter,Unknown,microsoft.aspnetcore.static,Prefix,Microsoft.AspNetCore.StaticFiles
GitHubOrTwitter,Unknown,Microsoft.Bot.Con,Prefix,Microsoft.Bot.Connector
GitHubOrTwitter,Unknown,Microsoft.Extensions,Prefix | TopDownloads,Microsoft.Extensions.*
GitHubOrTwitter,Unknown,Microsoft.Extensions.Log,Prefix,Microsoft.Extensions.Logging
GitHubOrTwitter,Unknown,Microsoft.Owin.Host.Sys,Prefix,Microsoft.Owin.Host.SystemWeb
GitHubOrTwitter,Unknown,mpart,Prefix,mParticle.*
GitHubOrTwitter,Unknown,ms di,Acronym | Tags,Microsoft.Extensions.DependencyInjection
